"Coefficient","SE","Z_value"
-5.23612105990929,1.84408481008839,-2.83941445169125
0.545485092238639,0.716824129901926,0.760974790724847
0.314641907276769,0.48038702888004,0.654975859798538
0.925545500964297,0.512440682888901,1.80615148615154
-13.2811900884779,1.44026849248005,-9.22132932701219
1.61436955466253,1.03214773275271,1.56408768186416
0.88211748591733,1.15940941345911,0.760833468899931
-3.69880376326681,1.49262164846429,-2.47805850000393
-6.84255486451637,2.30884519430588,-2.96362652697185
-1.55816349969182,1.47560328561001,-1.0559501424854
-1.36572611220947,1.24524209414356,-1.09675549729048
