"context","monkey","prob_exploit","prob_explore","prob_none"
"solo","FRAN",0.137141333541188,0.523060498804706,0.339798167654105
"duo","FRAN",0.112291917891461,0.407157697975301,0.480550384133238
"trio","FRAN",0.106049656875575,0.275557187115225,0.6183931560092
"solo","DALI",0.139249844246423,0.405873086059891,0.454877069693686
"duo","DALI",0.10622204084968,0.293870666488828,0.599907292661492
"trio","DALI",0.0937480775903146,0.185820727883964,0.720431194525722
"solo","EBI",0.114083196840582,0.270237032952731,0.615679770206687
"duo","EBI",0.0794604201893017,0.178328484322538,0.74221109548816
"trio","EBI",0.0653206516384925,0.105227226113994,0.829452122247514
"solo","ANEMONE",0.0737725844448835,0.00180025250003996,0.924427163055077
"duo","ANEMONE",0.0441074379447567,0.0010234206318796,0.954869141423364
"trio","ANEMONE",0.0329249753175984,0.000546106810973926,0.966528917871428
"solo","CHOCOLAT",0.17821015739727,0.00205306056094782,0.819736782041782
"duo","CHOCOLAT",0.111547201936228,0.00121799146309366,0.887234806600679
"trio","CHOCOLAT",0.0845807366024597,0.000657831478489316,0.914761431919051
"solo","ICE",0.127733319229546,0.00175062525112879,0.870516055519326
"duo","ICE",0.0782056162447352,0.00101818119628051,0.920776202558984
"trio","ICE",0.058747968669528,0.000546888331479109,0.940705142998993
