"Actor","Partner","Actor_Group","Partner_Group","Exploration_Rate","Trial_Count","Interaction_Type"
"FRAN","DALI","Group1","Group2",40.7079646017699,113,"Between_Group"
"FRAN","EBI","Group1","Group3",43.2835820895522,134,"Between_Group"
"CHOCOLAT","ICE","Group1","Group2",24.8554913294798,173,"Between_Group"
"CHOCOLAT","ANEMONE","Group1","Group3",27.3291925465839,161,"Between_Group"
"DALI","FRAN","Group2","Group1",29.8245614035088,114,"Between_Group"
"DALI","EBI","Group2","Group3",34.0277777777778,144,"Between_Group"
"ICE","CHOCOLAT","Group2","Group1",27.5449101796407,167,"Between_Group"
"ICE","ANEMONE","Group2","Group3",23.0769230769231,169,"Between_Group"
"EBI","FRAN","Group3","Group1",17.910447761194,134,"Between_Group"
"EBI","DALI","Group3","Group2",24.6478873239437,142,"Between_Group"
"ANEMONE","CHOCOLAT","Group3","Group1",14.2011834319527,169,"Between_Group"
"ANEMONE","ICE","Group3","Group2",13.4831460674157,178,"Between_Group"
