"monkey_id","sex","overall_rank","social_context","exploit","explore","none"
"ANEMONE","Female","Subordinate","solo",0.241370070803108,0.758629929196892,2.24307569215231e-55
"ANEMONE","Female","Subordinate","duo",0.347394811946592,0.652605188053408,1.32624755321149e-63
"ANEMONE","Female","Subordinate","trio",0.376931039655908,0.623068960344092,6.09159542009616e-59
"CHOCOLAT","Female","Dominant","solo",0.182049832167244,0.817950167832756,8.5025542640282e-67
"CHOCOLAT","Female","Dominant","duo",0.271337225990999,0.728662774009001,5.20606116544777e-75
"CHOCOLAT","Female","Dominant","trio",0.297353312423845,0.702646687576155,2.4151301974242e-70
"DALI","Male","Intermediate","solo",0.335346086905532,0.664653913094468,2.06030712309312e-75
"DALI","Male","Intermediate","duo",0.45774328193446,0.54225671806554,1.15531777795238e-83
"DALI","Male","Intermediate","trio",0.489622598225776,0.510377401774224,5.2312902054064e-79
"EBI","Male","Subordinate","solo",0.519224611083407,0.480775388916593,1.76355651042325e-82
"EBI","Male","Subordinate","duo",0.643734175646902,0.356265824353097,8.98217336815131e-91
"EBI","Male","Subordinate","trio",0.672502230345717,0.327497769654283,3.97224912238515e-86
"FRAN","Male","Dominant","solo",0.197774985591914,0.802225014408086,3.61332673074011e-84
"FRAN","Male","Dominant","duo",0.292021387843325,0.707978612156675,2.19175138243742e-92
"FRAN","Male","Dominant","trio",0.319152049053949,0.680847950946051,1.01400978848705e-87
"ICE","Female","Intermediate","solo",0.258067754697506,0.741932245302494,1.59478888269994e-76
"ICE","Female","Intermediate","duo",0.367870475019453,0.632129524980547,9.33910257653114e-85
"ICE","Female","Intermediate","trio",0.398085656596881,0.601914343403119,4.27813636966267e-80
