"monkey","context","explore_percent","exploit_percent","none_percent","total_trials","sex","rank","pair"
"ANEMONE","solo",32.4,33.8,33.8,68,"Female","Subordinate","Sub_Pair"
"ANEMONE","duo",19.3,17.8,63,135,"Female","Subordinate","Sub_Pair"
"ANEMONE","trio",10.4,7.5,82.1,106,"Female","Subordinate","Sub_Pair"
"CHOCOLAT","solo",34.8,21.7,43.5,69,"Female","Dominant","Dom_Pair"
"CHOCOLAT","duo",29.7,29,41.3,138,"Female","Dominant","Dom_Pair"
"CHOCOLAT","trio",23.5,29.6,46.9,98,"Female","Dominant","Dom_Pair"
"DALI","solo",42.4,57.6,0,33,"Male","Intermediate","Int_Pair"
"DALI","duo",41.9,52.4,5.7,105,"Male","Intermediate","Int_Pair"
"DALI","trio",26,24.7,49.4,77,"Male","Intermediate","Int_Pair"
"EBI","solo",47.6,52.4,0,42,"Male","Subordinate","Sub_Pair"
"EBI","duo",26,48,26,127,"Male","Subordinate","Sub_Pair"
"EBI","trio",17.3,38.7,44,75,"Male","Subordinate","Sub_Pair"
"FRAN","solo",78.1,21.9,0,32,"Male","Dominant","Dom_Pair"
"FRAN","duo",54.7,44.2,1.1,95,"Male","Dominant","Dom_Pair"
"FRAN","trio",34.2,53.9,11.8,76,"Male","Dominant","Dom_Pair"
"ICE","solo",42.2,44.4,13.3,90,"Female","Intermediate","Int_Pair"
"ICE","duo",28.1,38.1,33.8,139,"Female","Intermediate","Int_Pair"
"ICE","trio",23.2,30.3,46.5,99,"Female","Intermediate","Int_Pair"
