"outcome","term","estimate","se","ci_lower","ci_upper","term_clean"
"exploit","(Intercept)",19.4745444236957,1.01000101074051,17.4949424426443,21.4541464047471,"Intercept"
"exploit","social_complexityduo",-10.5877952734043,0.987781046850203,-12.5238461252307,-8.65174442157787,"Duo vs Solo"
"exploit","social_complexitytrio",21.4192955701635,1.04668891952166,19.367785287901,23.4708058524259,"Trio vs Solo"
"exploit","monkey_idCHOCOLAT",3.00192417678961,0.946159468240734,1.14745161903777,4.85639673454145,"Individual: CHOCOLAT"
"exploit","monkey_idDALI",12.6078754629153,0.872423628971298,10.8979251501316,14.3178257756991,"Individual: DALI"
"exploit","monkey_idEBI",26.2650426143003,0.729103221552966,24.8360003000565,27.6940849285441,"Individual: EBI"
"exploit","monkey_idFRAN",-3.16581834444777,1.25027240386852,-5.61635225603008,-0.715284432865469,"Individual: FRAN"
"exploit","monkey_idICE",-1.32645051627476,1.59105732113749,-4.44492286570424,1.79202183315472,"Individual: ICE"
"exploit","rank_std",-10.1191221295741,0.600366532840566,-11.2958405339416,-8.94240372520656,"Dominance Rank"
"exploit","subjective_value_std",5.25784292537132,1.3263785245807,2.65814101719315,7.85754483354948,"Subjective Value"
"exploit","exploit_preference_std",-1.12973735506091,0.787137755971593,-2.67252735676523,0.413052646643415,"Exploit Preference"
"exploit","explore_expectation_std",1.10691723722217,0.907423702351378,-0.671633219386531,2.88546769383087,"Explore Expectation"
"explore","(Intercept)",21.4041018192905,0.99596981386878,19.4520009841077,23.3562026544733,"Intercept"
"explore","social_complexityduo",-11.0622872503256,0.978741125513926,-12.9806198563329,-9.14395464431829,"Duo vs Solo"
"explore","social_complexitytrio",20.9244517905521,1.03152472135574,18.9026633366948,22.9462402444093,"Trio vs Solo"
"explore","monkey_idCHOCOLAT",3.35359442343569,0.924645290572594,1.5412896539134,5.16589919295797,"Individual: CHOCOLAT"
"explore","monkey_idDALI",12.1683453280642,0.855721528103633,10.4911311329811,13.8455595231473,"Individual: DALI"
"explore","monkey_idEBI",25.1587538143698,0.710743585693363,23.7656963864108,26.5518112423288,"Individual: EBI"
"explore","monkey_idFRAN",-2.81366102592215,1.2344789338781,-5.23323973632323,-0.39408231552107,"Individual: FRAN"
"explore","monkey_idICE",-1.46740109874285,1.57933007162611,-4.56288803913002,1.62808584164432,"Individual: ICE"
"explore","rank_std",-10.0548902455348,0.594166222423692,-11.2194560414852,-8.89032444958437,"Dominance Rank"
"explore","subjective_value_std",2.55775129296112,1.31148520642571,-0.0127597116332594,5.12826229755551,"Subjective Value"
"explore","exploit_preference_std",-0.929497672813485,0.78337748660709,-2.46491754656338,0.605922200936411,"Exploit Preference"
"explore","explore_expectation_std",1.44708124811133,0.906253474853935,-0.329175562602388,3.22333805882504,"Explore Expectation"
"none","(Intercept)",11.9998039906305,2.41124132355264,7.27377099646728,16.7258369847936,"Intercept"
"none","social_complexityduo",-10.8469313954758,1.56685371405351,-13.9179646750207,-7.77589811593089,"Duo vs Solo"
"none","social_complexitytrio",23.0216299618526,2.05381832051068,18.9961460536517,27.0471138700535,"Trio vs Solo"
"none","monkey_idCHOCOLAT",1.42035670319826,1.83253097653972,-2.17140401081958,5.01211741721611,"Individual: CHOCOLAT"
"none","monkey_idDALI",9.00044620251239,1.69751266080505,5.67332138733449,12.3275710176903,"Individual: DALI"
"none","monkey_idEBI",22.5196201907339,1.4072220978878,19.7614648788738,25.277775502594,"Individual: EBI"
"none","monkey_idFRAN",-4.4406448369246,2.45544828899533,-9.25332348335545,0.372033809506247,"Individual: FRAN"
"none","monkey_idICE",-3.92876819104889,2.23383043352871,-8.30707584076515,0.44953945866737,"Individual: ICE"
"none","rank_std",-10.3595583267425,0.997241837064018,-12.3141523273879,-8.40496432609699,"Dominance Rank"
"none","subjective_value_std",-10.7611235339975,2.335716068401,-15.3391270280635,-6.18312003993154,"Subjective Value"
"none","exploit_preference_std",-0.674599455452519,0.775420087140612,-2.19442282624812,0.845223915343081,"Exploit Preference"
"none","explore_expectation_std",1.94768773287014,1.08045400893735,-0.170002124647067,4.06537759038734,"Explore Expectation"
