"sex","social_context","hierarchy_level","exploit","explore","none"
"Male","solo","Dominant",0.208400588875761,0.791599411124239,4.33783902717187e-86
"Male","duo","Dominant",0.30578043263058,0.69421956736942,2.61471848319125e-94
"Male","trio","Dominant",0.333587083228352,0.666412916771647,1.20751449831391e-89
"Male","solo","Intermediate",0.197774985591914,0.802225014408086,3.61332673074011e-84
"Male","duo","Intermediate",0.292021387843325,0.707978612156675,2.19175138243742e-92
"Male","trio","Intermediate",0.319152049053949,0.680847950946051,1.01400978848705e-87
"Male","solo","Subordinate",0.187562778115724,0.812437221884276,3.00776507045408e-82
"Male","duo","Subordinate",0.278632965371788,0.721367034628213,1.83556812688613e-90
"Male","trio","Subordinate",0.305055718400232,0.694944281599768,8.50716905369914e-86
"Female","solo","Dominant",0.192032825315348,0.807967174684652,1.02181722310304e-68
"Female","duo","Dominant",0.2845133504475,0.7154866495525,6.21929494164587e-77
"Female","trio","Dominant",0.311253132872666,0.688746867127334,2.88018322361332e-72
"Female","solo","Intermediate",0.182049832167244,0.817950167832756,8.5025542640282e-67
"Female","duo","Intermediate",0.271337225990999,0.728662774009001,5.20606116544777e-75
"Female","trio","Intermediate",0.297353312423845,0.702646687576155,2.4151301974242e-70
"Female","solo","Subordinate",0.172475029191712,0.827524970808288,7.07044484804201e-65
"Female","duo","Subordinate",0.258550797964019,0.741449202035981,4.35418773850518e-73
"Female","trio","Subordinate",0.283818433503129,0.716181566496871,2.02334410528562e-68
